,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founded,Founders,Investor
16,Mihuru,Finance,Seed,150000,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018,,,
17,Fyle,Accounting,Seed,1100000,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,2018,,,
18,AppWharf,Artificial Intelligence,Seed,0,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,,,
19,Antariksh Waste Ventures Pvt ltd,Internet of Things,Seed,7309,Chennai,Waste Management for Smart Cities,2018,,,
20,Cogoport,Air Transportation,Series A,6000000,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,,,
21,PaisaDukan,Financial Services,Seed,650000,Mumbai,A P2P lending marketplace platform,2018,,,
22,Sleepy Owl Coffee,Food and Beverage,Seed,511611,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,,,
23,BlueJack,Autonomous Vehicles,Seed,935518,Delhi,Delhi-based online used vehicles marketplace.,2018,,,
24,PregBuddy,Enterprise Software,Seed,0,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,2018,,,
25,AgNext Technologies,Agriculture,Series A,0,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,,,
26,Pando,Logistics,Seed,2000000,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018,,,
27,Mintifi,Financial Services,Seed,2000000,Mumbai,Online lending startup based in Mumbai.,2018,,,
28,Carcrew,Automotive,Seed,2000000,Mumbai,India's Online Auto Repair Marketplace,2018,,,
29,NicheAI,Artificial Intelligence,Angel,0,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018,,,
30,Chariot Tech,Internet of Things,Seed,292349,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,,,
31,Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,1000000,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,,,
32,Loanzen,Financial Services,Seed,0,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018,,,
33,Mojro Technologies,Information Technology,Seed,650000,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,,,
34,Elemential,Blockchain,Seed,1000000,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,,,
35,Loadshare,Industrial Automation,Series A,5000000,Bengaluru,LoadShare is India’s fastest growing logistics company,2018,,,
36,Yumlane,Food and Beverage,Series A,4000000,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018,,,
37,Kriger Campus,Education,Seed,438524,New Delhi,A Education Start Up.,2018,,,
38,Pipa+Bella,E-Commerce,Series A,1000000,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,,,
39,Kaleidofin,Financial Services,Seed,2800000,Chennai,A fintech platform.,2018,,,
40,Chakr Innovation,Renewable Energy,Seed,0,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018,,,
41,IndigoLearn,E-Learning,Seed,150000,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,,,
42,UClean,Clean Energy,Seed,584699,India,UClean is a tech enabled laundry service provider.,2018,,,
43,Coutloot,E-Commerce,Seed,1000000,Mumbai,The Fashion Re-commerce platform.,2018,,,
44,Letstrack,Apps,Seed,1700000,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,,,
45,Pooltoo,Transportation,Seed,0,New Delhi,Pooltoo offers a premium ride sharing platform.,2018,,,
46,Finzy,Financial Services,Seed,1300000,Bangalore,finzy is the premier peer to peer lending solution in India.,2018,,,
47,Fitternity,Fitness,Seed,2000000,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,,,
48,Keito,Artificial Intelligence,Seed,0,Pune,Building an Intelligent Digital Assistant.,2018,,,
49,Tolet for Students,Hospitality,Seed,73087,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,,,
50,Chai Kings,Food and Beverage,Seed,292349,Chennai,Chai Kings is a tea retail chain,2018,,,
51,Dainik Jagran,Media and Entertainment,Seed,584699,Kanpur,Dainik Jagran is a media and communications group.,2018,,,
52,Playtoome,Broadcasting,Seed,292349,Bengaluru,Playtoome is a live entertainment destination,2018,,,
53,ONGO Framework,B2B,Angel,1000000,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018,,,
54,Notesgen,EdTech,Seed,182718,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,,,
55,Arogya MedTech,Health Care,Seed,219262,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,,,
56,Propshop24,E-Commerce,Seed,500000,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,,,
57,myUpchar,Health Care,Series A,5000000,New Delhi,To bring health issues to people in their language.,2018,,,
58,MissMalini Entertainment,,Seed,1520217,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,,,
59,Rooter,Sports,Seed,657786,India,Rooter is a mobile-based platform,2018,,,
60,ZestMoney,Big Data,Series A,13400000,Bangalore,Zest is India's first completely automated consumer digital lending platform.,2018,,,
61,alphaics Corporation,Cloud Computing,Seed,0,Bengaluru,Advancing AI compute,2018,,,
62,MyDentistChoice,Health Care,Seed,500000,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,,,
63,Sattviko,Food Processing,Angel,0,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,,,
64,Sensibull,Trading Platform,Seed,365437,Bangalore,Investment Management Platform,2018,,,
65,Bombay Shaving Company,Consumer Goods,Series A,0,New Delhi,Bombay Shaving Company is a Men's grooming startup,2018,,,
66,MedCords,Wellness,Seed,385901,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,,,
67,University Living,Education,Seed,0,New Delhi,University Living is an online global student housing marketplace.,2018,,,
68,&ME,Food and Beverage,Seed,0,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,,,
69,Enakshi,Fashion,Seed,116940,Ahmedabad,Enakshi is an online apparel brand for women.,2018,,,
70,Ultraviolette Automotive,Automotive,Series A,877,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,,,
71,Inthree Access,Consulting,Series A,4000000,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,,,
72,BUGWORKS Research India,Biotechnology,Series A,9000000,Bangalore,BUGWORKS is a drug discovery company.,2018,,,
73,Guardian.in,Health Care,Seed,0,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,,,
74,PrestLoans,Credit,Seed,100000,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,,,
75,Wimoxez,Internet,Seed,20000,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,,,
76,India Accelerator,Communities,Angel,0,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,,,
77,HappyEMI,Consumer,Seed,1000000,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,,,
78,Wishup,Consumer Applications,Seed,0,Azadpur,Premium Personal Assistance service,2018,,,
79,Hansel.io,Mobile,Series A,4000000,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,,,
80,Propelld,Education,Seed,250000,Bengaluru,Propelld is a student education financing platform.,2018,,,
81,PivotRoots,Advertising,Series A,0,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,,,
82,ZiffyHomes,Marketplace,Seed,120000,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,,,
83,Carmesi,Health Care,Seed,496994,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,,,
84,OckyPocky,E-Learning,Angel,0,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018,,,
85,Racetrack,Artificial Intelligence,Seed,4999174,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,,,
86,WHR,Health Care,Seed,143145,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,,,
87,Asteria Aerospace,Aerospace,Seed,0,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,2018,,,
88,FabAlley,E-Commerce,Series B,8770481,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,,,
89,Tranzmeo,Artificial Intelligence,Pre-Seed,0,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,,,
90,SBI Life,Insurance,Private Equity,742000000,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,,,
91,Studds Accessories,E-Commerce,Private Equity,14617468,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018,,,
92,Design Cafe,Home Decor,Series B,29234936,Bengaluru,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,,,
93,NoPaperForms Solutions Pvt. Ltd.,EdTech,Series B,3980000,New Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,,,
94,Rays Power Infra,Energy,Venture - Series Unknown,29234936,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018,,,
95,AuthMetrik,B2B,Grant,10000,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,,,
96,Khidki,Artificial Intelligence,Seed,0,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,2018,,,
97,LetsTransport,Logistics,Series B,14617468,Bangalore,Lets transport is a logistics solution provider.,2018,,,
98,Next Digital Solutions,Digital Marketing,Angel,1462,Kota,Next Digital Solutions is website design & Digital Marketing development company.,2018,,,
99,Portea Medical,Health Care,Debt Financing,3654367,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,,,
100,Aavas Financiers,Finance,Post-IPO Debt,29234936,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,,,
101,Swiggy,Food Delivery,Series H,1000000000,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,,,
102,Milkbasket,E-Commerce,Series A,7000000,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018,,,
103,Nutrisattva (Proliva),Fitness,Angel,0,Anand,Nutrisattva is a protein innovation compan,2018,,,
104,Toppr,EdTech,Series C,35000000,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018,,,
105,Jagaran Microfin,,Debt Financing,8039607,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,,,
106,Vivriti Capital,Financial Services,Venture - Series Unknown,28500000,Chennai,Vivriti Capital is an online platform for institutional debt in India.,2018,,,
107,Be U Salons,Apps,Seed,438524,New Delhi,Be U is India's first subscription based Salon Chain.,2018,,,
108,Impact Guru,Creative Agency,Series A,2000000,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,,,
109,MobiKwik,Consumer Lending,Series E,3508192,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,,,
110,Stones2Milestones,E-Learning,Seed,0,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,2018,,,
111,Generico,Health Care,Series A,0,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,,,
112,Adiuvo Diagnostics,Health Diagnostics,Seed,0,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,,,
113,DataTrained,EdTech,Seed,1754096,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,,,
114,OneAssist,Financial Services,Debt Financing,2400000,Mumbai,OneAssist is a protection & assistance services platform.,2018,,,
115,Satin Creditcare Network Limited (SCNL),Banking,Post-IPO Debt,30000000,New Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,,,
116,APAC Financial Services,Finance,Private Equity,36543670,Mumbai,APAC Financial Services is a financial services platform.,2018,,,
117,Moglix,B2B,Series C,23000000,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,,,
118,SEDEMAC Mechatronics,Automotive,Venture - Series Unknown,0,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,,,
119,MadGuy Labs,E-Learning,Venture - Series Unknown,150000,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018,,,
120,Dee Dee Labs,Embedded Systems,Seed,0,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,,,
121,FLEECA,,Seed,0,Jaipur,FLEECA is a Tyre Care Provider company.,2018,,,
122,Shop101,Apps,Series B,11000000,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,,,
123,FeedMyPockets,Advertising,Seed,643169,Bangalore City,On Demand Staffing Platform,2018,,,
124,Housejoy,Beauty,Series B,3240000,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018,,,
125,Ambee,Health Care,Angel,0,Bangalore,Ambee is an Environment analytics startup.,2018,,,
126,FoodBuddy,Food Delivery,Seed,877048,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,,,
127,Ninjacart,AgTech,Series B,36543670,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,,,
128,Olly Smart Credit Card,Credit Cards,Seed,0,New Delhi,Olly is a digital credit card for India's working masses and young people.,2018,,,
129,Zestl,Software,Seed,0,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018,,,
130,BYJU’S,EdTech,Private Equity,540000000,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018,,,
131,Wakefit,Manufacturing,Venture - Series Unknown,9501354,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,,,
132,Hero Electric,Manufacturing,Venture - Series Unknown,23387949,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,,,
133,Pentation Analytics,Information Services,Seed,0,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018,,,
134,PerkFinance,Consumer Lending,Seed,900000,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018,,,
135,Roposo,Internet,Series C,10000000,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018,,,
136,Plum Goodness,Beauty,Series A,0,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018,,,
137,Drstore,Hospital,Seed,0,Mumbai,Drstore is a exclusive e- commerce platform.,2018,,,
138,Wow Venue,Events,Venture - Series Unknown,1500000,Mumbai,Wow Venue is an online platform.,2018,,,
139,Chizel,3D Printing,Seed,0,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018,,,
140,OTO Capital,Automotive,Seed,730873,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,2018,,,
141,Boodmo,Automotive,Seed,1023223,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,2018,,,
142,Khabri,Apps,Seed,0,Haryana,Khabri is a digital audio platform for content in vernacular.,2018,,,
143,MyNewCar.in,Automotive,Venture - Series Unknown,1000000,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,,,
144,HalaPlay Technologies,Digital Entertainment,Series A,5000000,Bangalore,A daily fantasy sports platform.,2018,,,
145,PlanetSpark,E-Learning,Seed,233879,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,,,
146,WheelsEMI,,Series B,14000000,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018,,,
147,Forum for Innovation Incubation Research and Entrepreneurship,Funding Platform,Grant,1498290,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,,,
148,OYO,Hospitality,Series E,100000000,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018,,,
149,Quikr,Classifieds,Debt Financing,8039607,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,,,
150,Tabono,Sports,Seed,0,Gurgaon,Tabono is a one stop environment for all your fitness solution.,2018,,,
151,LearnApp,Banking,Seed,292349,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,,,
152,Shopkirana,E-Commerce,Venture - Series Unknown,2000000,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018,,,
153,Fric Bergen,,Venture - Series Unknown,0,Alwar,Fric Bergen is a leader in the specialty food industry.,2018,,,
154,Articbot,Artificial Intelligence,Grant,17541,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018,,,
155,BuildSupply,Enterprise Resource Planning (ERP),Series A,3654367,Gurgaon,India’s most advanced ERP system for the real estate,2018,,,
156,Fusion Microfinance,Banking,Series E,76010834,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018,,,
157,Any time Doctor,Software,Angel,0,Chennai,Anytime Doctor is a Software company.,2018,,,
158,Go Payments,Information Services,Corporate Round,0,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018,,,
159,Guiddoo World,Audio,Seed,800000,Mumbai,We build In-Destination Experiences!,2018,,,
160,ION Energy,Energy,Venture - Series Unknown,1041000,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018,,,
161,UnoTag,Artificial Intelligence,Pre-Seed,100000,Bangalore,SaaS to verify counterfeit,2018,,,
162,CivilCops,Government,Pre-Seed,100000,Gurgaon,Gov-Tech,2018,,,
163,Rockmetric,Information Technology,Grant,0,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018,,,
164,Classworks India,Education,,1462,Chennai,"Saas, Web App, Mobile App, School Education",2018,,,
165,Snapmint,Consumer Lending,Seed,0,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018,,,
166,artbandhu,Digital Media,Pre-Seed,15000,Bangalore,Ai platform for Art and Creative Community,2018,,,
167,Survaider,Business Intelligence,Seed,500000,Bengaluru,Stethoscope for customer feedback !,2018,,,
168,Credy,Credit,Seed,1400000,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018,,,
169,iChamp,E-Learning,Seed,5000000,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018,,,
170,Qandle,Software,Seed,1200000,Gurgaon,A cloud-based HR management and employee engagement platform.,2018,,,
171,Avishkaar Box,Children,Seed,730873,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018,,,
172,Gegadyne Energy,Automotive,Angel,0,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018,,,
173,HyperXchange,E-Commerce,Series A,1000000,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018,,,
174,Deftouch,,Seed,0,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018,,,
175,Doodhwala,Food Delivery,Seed,2200000,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018,,,
176,DronaHQ,Mobile,Angel,500000,Mumbai,DronaHQ is an enterprise mobile engagement platform.,2018,,,
177,FastFox,Rental,Series A,1461747,Gurgaon,FastFox: Market Network for Home Rentals (India),2018,,,
178,BuyForexOnline,Travel,Seed,2000000,Bangalore,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018,,,
179,Colive.in,Consumer,Seed,1800000,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018,,,
180,Agricxlab Private Limited,B2B,Seed,500000,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018,,,
181,Corefactors,,Seed,0,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company.",2018,,,
182,Fincash.com,Wealth Management,Seed,150000,Mumbai,A startup in the personal finance space in India .,2018,,,
183,Pandorum Technologies,Biotechnology,Series A,3600000,Bengaluru,Bengaluru based biotech startup.,2018,,,
184,Shirsa Labs,Education,Seed,500000,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018,,,
185,PetSutra,Veterinary,Seed,138866,Gurgaon,Gurugram-based Online petcare platform.,2018,,,
186,Awaaz De,Internet,Angel,0,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018,,,
187,PinkBlue,Health Care,Seed,300000,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018,,,
188,Eduvanz,Finance,Angel,500000,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018,,,
189,Rupeek,Financial Services,Series A,6830000,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018,,,
190,Backpacker Panda Holidays Private Limited,Tourism,Series A,1400000,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018,,,
191,Shape (School Health and Physical Education),Education,Seed,200000,Pune,Physical education start up,2018,,,
192,Placio,Hospitality,Seed,2000000,Noida,Placio is a student housing and a complete broker-free platform.,2018,,,
193,Aviom India Housing Finance,Finance,Series A,2192620,New Delhi,Delhi based housing finance company.,2018,,,
194,GenRobotic,Market Research,Seed,0,Trivandrum,A Robotic Company.,2018,,,
195,HeyHolidays,Tourism,Seed,1000000,Bangalore,"HeyHolidays, a global player in online vacation rentals.",2018,,,
196,Pratilipi,Digital Media,Series A,4300000,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages,2018,,,
197,SectorQube,Consumer Electronics,Seed,0,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.,2018,,,
198,Food Memories,Food and Beverage,Seed,0,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,2018,,,
199,ZAMROO,Internet,Seed,0,India,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,2018,,,
200,Silversparro Technologies Pvt. Ltd,Analytics,Seed,300000,Gurgaon,Silversparro is a deep learning technology solution provider.,2018,,,
201,Creator’s Gurukul,Facilities Support Services,Angel,0,Gurgaon,A coworking space provider.,2018,,,
202,Emflux Motors,Automotive,Seed,364846,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018,,,
203,Tricog Health Services Pvt Ltd,Health Care,Series A,4000000,Bangalore,Predictive Healthcare Analytics Company,2018,,,
204,Scapic,Cloud Computing,Seed,500000,Bangalore,Virtual/Augmented Reality Start Up .,2018,,,
205,6Degree,Fashion,Seed,400000,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018,,,
206,Chrysalis (EZ Vidya),Education,Seed,0,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,2018,,,
207,Ekincare,Medical,Series A,1500000,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018,,,
208,Streo,Music Streaming,Seed,0,Gurgaon,"Live stream music from nightclubs, bars & festivals!",2018,,,
209,Groww,Finance,Seed,120000,Kormangala,Groww offers a new way of investing money.,2018,,,
210,Cell Propulsion,,Seed,102322,Bangalore,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018,,,
211,Chezuba,Internet,Angel,20464,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,2018,,,
212,Ontrack Technologies Pvt. Ltd,Retail,Seed,0,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2018,,,
213,Wealthtrust,Finance,Seed,500000,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018,,,
214,Faclon Labs,Cloud Computing,Seed,0,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,2018,,,
215,Awign Enterprises,Business Development,Seed,730873,Bangalore,Operations and manpower outsourcing startup,2018,,,
216,CollPoll,Education,Seed,0,Bangalore,World-class Enterprise System for Education.,2018,,,
217,Zyla Health,Health Care,Seed,0,New Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,2018,,,
218,Hubhopper,Internet,Series A,500000,Delhi,Get your daily dose of interest as summaries from news and magazine stories .,2018,,,
219,Rubix108 Technologies,Information Technology,Seed,1000000,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,2018,,,
